,年份,分区,项目,合计_surface,农田灌溉_surface,林牧渔畜_surface,工业_surface,城镇公共_surface,居民生活_surface,生态环境_surface,合计_groundwater,农田灌溉_groundwater,林牧渔畜_groundwater,工业_groundwater,城镇公共_groundwater,居民生活_groundwater,生态环境_groundwater
110,2009,兰州-头道拐,取水量,27.11,18.53,1.69,4.51,0.47,1.41,0.5,5.43,1.3,0.04,2.05,0.48,1.39,0.17
111,2009,兰州-头道拐,耗水量,22.57,15.56,1.38,3.72,0.43,1.0,0.48,2.85,1.05,0.03,0.62,0.2,0.84,0.11
112,2009,头道拐-龙门,取水量,156.82,132.37,9.97,10.1,0.6,1.76,2.02,27.98,14.27,2.91,6.5,1.28,2.78,0.24
113,2009,头道拐-龙门,耗水量,106.46,86.66,8.43,7.57,0.42,1.51,1.87,19.72,11.56,2.36,3.45,0.7,1.49,0.16
114,2009,龙门-三门峡,取水量,9.81,5.77,0.43,2.36,0.27,0.91,0.07,6.8,3.03,0.49,1.82,0.23,1.07,0.16
115,2009,龙门-三门峡,耗水量,8.29,4.88,0.35,1.96,0.26,0.77,0.07,4.92,2.45,0.4,1.03,0.11,0.79,0.14
116,2009,三门峡-花园口,取水量,49.24,34.18,2.59,5.6,0.82,4.86,1.19,49.79,23.04,4.51,10.01,1.99,9.31,0.93
117,2009,三门峡-花园口,耗水量,41.08,29.6,2.21,4.13,0.72,3.25,1.17,34.64,18.66,3.65,4.88,0.98,5.56,0.91
118,2009,花园口-利津,取水量,19.53,10.31,0.73,6.59,0.35,1.35,0.2,16.08,3.9,1.01,7.45,0.6,2.67,0.45
119,2009,花园口-利津,耗水量,16.87,9.37,0.65,5.18,0.33,1.16,0.18,8.77,3.16,0.82,2.45,0.27,1.7,0.37
120,2009,利津-河口,取水量,109.65,80.46,3.56,9.94,1.29,4.49,9.91,18.71,11.42,1.8,2.53,0.45,2.45,0.06
121,2009,利津-河口,耗水量,108.35,79.89,3.36,9.63,1.26,4.34,9.87,13.33,9.25,1.46,0.75,0.22,1.63,0.02
122,2009,黄河内流区,取水量,1.48,1.37,0.06,0.04,0.0,0.0,0.01,2.19,1.05,0.45,0.31,0.05,0.11,0.22
